0,1,2
2022-01-17,jpnncom,"Program Digital Leadership Academy (LDA), Merdeka Belajar, hingga Kampus Merdeka, digagas Jokowi untuk mencari talenta-talenta digital, agar mampu menguasai teknologi. #Jokowi https://t.co/i0xki6MGZF"
2022-01-17,HumasUntirta,"Sobat Jawara, registrasi dan pembayaran Uang Kuliah Tunggal (UKT) dapat dilakukan mulai hari ini, 17 Januari 2022 hingga tanggal 4 Februari 2022.

Catat juga tanggal penting lainnya ya, Sobat!

#UntirtaJawara
#MerdekaBelajar #KampusMerdeka 
#kampusmerdekaIndonesiaJaya https://t.co/shDgMkHZyK"
2022-01-17,pamungkas_jra,@UNYmfs merdeka belajar kampus merdeka
2022-01-17,kb_ntb,"#SasamboHariIni untuk #SahabatBahasa dan #SahabatDikbud, yaitu kata ""gulem"" dalam bahasa Sasak (Lombok).

#BahasaSasak
#KosakataDaerah
#MerdekaBelajar https://t.co/ViEt60FACh"
2022-01-17,andrezal03,@UnivTerbuka Merdeka belajar UT itu double degree kah min ?
2022-01-17,Redaksi09,[NEWS] Prodi Sarjana Terapan Pengelolaan Perhotelan Unud Gelar Rapat Sinkronisasi Kurikulum dengan MBKM - https://t.co/TCJNF9zEM5 - Upaya penyesuaian kurikulum terkait Program Merdeka Belajar Kampu.. https://t.co/l8L4ZjE6k7 via @Redaksi09
2022-01-17,breathevapourrr,@collegemenfess Itu merdeka belajar yg ambil matkul diluar prodi bukan? Kalo iya aku pernah ambil smt kmrn. Ya ambil aja trs nanti kelas spt biasa cuma dikelas itu ada dari beda beda prodi gitu. Seru sih nder
2022-01-17,unikomtwit,"Memasuki tahun 2022 Unikom kembali membuka pintu untuk menerima kunjungan Industri oleh Sekolah-sekolah yang akan melaksanakan Studi Banding

Selengkapnya di: https://t.co/8WAaAzy5Cg

#UNIKOM #Unikominfo #UnikomEvent #TeSCA2021 #Merdekabelajar #Kampusmerdeka https://t.co/0ERZL3qvBv"
2022-01-17,dispusipbwi,Merdeka Belajar di Perpustakaan. https://t.co/rR0fPdRWJg
2022-01-16,wartabengawan,Siswa SD Muh 1 Ketelan Praktikkan Merdeka Belajar https://t.co/7WpKBkL1dw
2022-01-16,ojokgobloklur,"hiyyyaaaaakkkkkkk...pinginnya merdeka belajar, eehh yang belajar ternyata belum merdeka. 
Situ masih diajar ama kumpenii, neng?"
2022-01-16,sukamisakura,@UPIfess merdeka belajar kampus merdeka
2022-01-16,TerpaduUPI,"Edaran cicilan UKT bagi mahasiswa on-going program D3, S1, S2, dan S3 Semester Genap 2021/2022.  
    
#info #terpaduupi #upi    
#UKT  
#MerdekaBelajar https://t.co/pMsksgNpUq"
2022-01-16,numeroyoonoh,"@telyufess kampus merdeka tuh maksudnya kampus yg pembelajarannya ga cuma di kampus/kelas doang, bisa di lain tempat, contohnya kalau ikut program mbkm (merdeka belajar kampus merdeka) dari mendikbud, nah secara detail mbkm tuh punya bbrp program kaya magang, pertukaran pelajar dkk"
2022-01-16,DppHippindo,"Melalui program Merdeka Belajar Kampus Merdeka, diharapkan SDM dapat meningkatkan dan mengasah kemampuan melalui pengalaman praktis dengan terjun secara langsung di dunia kerja sebagai persiapan karir di masa depan. https://t.co/R81lO9qcGi"
2022-01-16,DppHippindo,Penandatanganan MoU Program Magang Merdeka Belajar antara DPN APINDO dan FISIPOL UGM (12/01/2021). Ibu Flora Tedjo Prawiro hadir selaku Direktur Eksekutif HIPPINDO.Dibuka oleh Ketum APINDO Bpk Hariyadi B. Sukamdani &amp; Dekan Fakultas Ilmu Sosial dan Politik UGM Dr. Wawan Mas’udi https://t.co/v0FpTqp9tL
2022-01-16,cgrttsafterkey,merdeka belajar siapa yg bikin si? bikin pusing aja
2022-01-16,Kemdikbud_RI,"Makin bertambah usia anak, maka rasa keingintahuannya akan makin besar, karena itu penting bagi orang tua untuk berbagi pengetahuan.

#MerdekaBelajar #MingguRindu https://t.co/GGETGmVdD6"
2022-01-16,Kemdikbud_RI,"#SahabatDikbud, salah satu langkah untuk mencegah kekerasan seksual adalah dengan memberikan edukasi sejak dini kepada anak-anak. Mari simak beberapa kiatnya! 

#MerdekaBelajar #MingguRindu https://t.co/quXeuL79n5"
2022-01-16,ablatgade,Merdeka Belajar https://t.co/QwvSGViXNu
2022-01-16,RohaidaEni,"@mkusumawijaya @jokowi Merdeka belajar itu, kesepakatan dr mahasiswa, bkn civitas akademika"
2022-01-16,ditpsd_dikbud,"Direktur Sekolah Dasar menyampaikan apresiasi atas diselenggarakannya vaksinasi anak peserta didik usia 6-11 tahun. Baca artikel selengkapnya di https://t.co/AXrVXoahMf

#VaksinasiAnak
#IndonesiaPulih
#MerdekaBelajar
#ProfilPelajarPancasila
#GIATSD
#DirektoratSekolahDasar https://t.co/W7oaf3zGnz"
2022-01-16,infonyaMKS,"Launching Imunisasi Merdeka Belajar, Bupati Luwu Utara: Pembelajaran Daring Tidak Efektif https://t.co/xdBDZIreYx https://t.co/eeJ2BGOxsU"
2022-01-16,kanalbali,"Terapkan #MerdekaBelajar, Menhub @BudiKaryaS  Dorong Taruna @poltradabali  Berkolaborasi dengan Petani di #Tabanan #Bali  https://t.co/km0OQfnh5R"
